steamid,publisherclass,copiessold
1260320,Indie,1414566
2369390,AAA,602064
611790,Indie,800563
1973710,Indie,274969
1073440,Indie,384686
2073850,Indie,8492121
633230,AAA,1149792
578650,AA,823720
236110,Indie,3743897
319630,AA,6096421
975370,Indie,758044
544750,AA,723657
1066780,AA,765082
985810,Indie,960947
1113000,AA,1261739
1377580,Indie,929446
291650,AAA,965041
1029690,AA,777908
606880,AA,694292
447020,Indie,1200667
900883,AAA,1449690
1665460,AA,2948685
235540,AA,1329348
799960,Indie,660859
599140,AA,1705934
1583230,Indie,434266
386180,AA,5977546
555160,Indie,1896232
505460,Indie,1249970
704270,Indie,1287601
418240,AA,1600064
1435790,Indie,1715401
1237950,AAA,1576082
1124300,AA,776963
699130,Indie,939588
252530,Indie,169577
313120,Indie,1718161
323470,AA,836255
460920,AAA,1350625
285190,AA,559024
322500,Indie,1408358
427290,AA,783389
1274570,Indie,3622737
438040,Indie,1754933
775500,AA,430559
2108330,AAA,432883
424840,AA,1040320
1088850,AA,663607
690790,Indie,1599636
527230,AA,2108610
573090,Indie,686310
1105420,Indie,252144
1850570,AA,815620
752590,AA,1260134
307960,Indie,245267
386940,Indie,2543662
674940,Indie,6277669
47810,AAA,1406540
237310,Indie,996625
1113560,AA,526571
204100,AAA,2478018
387290,AAA,2387893
239030,Indie,4057820
1335200,Indie,925297
788100,AA,1318129
702320,Indie,179916
550650,Indie,8192909
640820,AA,909775
838350,Indie,1419789
21690,AA,2197611
872410,AA,263605
1238860,AAA,1922048
638970,AA,1927314
253230,Indie,1004364
35450,AA,2089359
376210,Indie,1362687
666140,AA,1404389
265550,AA,916484
996580,AAA,802540
2064650,Indie,750090
1307550,Indie,936877
33930,AA,2384551
627270,AA,1074897
220440,AA,1124279
346010,Indie,3260822
1621690,Indie,1870234
645630,AA,1994428
242920,Indie,2161199
1235140,AA,586762
4500,Indie,1819699
933110,AAA,1919026
692850,AA,740298
2381590,Indie,1124394
527430,Indie,671610
1501750,AA,335199
1404210,AAA,1815215
504230,Indie,2220829
209650,AAA,492431
1044720,AA,746387
675010,AA,1499173
1062090,Indie,956239
235460,AA,1842034
382310,Indie,646438
389430,Indie,722477
1097840,AAA,601379
110800,AAA,2152165
560130,Indie,590865
209000,AA,2240468
1943950,Indie,2392657
1657630,Indie,769979
10500,AA,1734022
747660,Indie,646511
1692250,AAA,702672
834910,Indie,904944
400750,Indie,862663
55150,AA,1267065
314160,AAA,965311
1677740,Indie,6403870
516750,Indie,1316054
1147560,AA,1538733
537180,Indie,823314
1476970,Indie,1273052
230290,Indie,906288
939960,AAA,1088470
2208920,AAA,879866
288470,AAA,1073099
266840,AAA,1904352
365360,Indie,493327
418460,AA,1314452
236430,AA,1023034
1677280,AA,304479
774361,AA,1599937
858820,AA,1499301
1178830,Indie,1342505
751780,AA,1269021
359870,AA,889293
475150,AA,1414234
637090,AAA,666095
383870,Indie,1625681
289130,AA,1242812
6060,AA,3114684
601430,AAA,704883
50300,AAA,1595134
20900,AAA,4664887
7940,AAA,1385739
1096530,Indie,492424
1659420,AA,520850
16900,Indie,675718
228280,Indie,1099718
221910,Indie,2363904
921570,AA,473146
1448440,AA,348796
233130,AA,1551004
287390,AA,3358332
464920,AAA,870452
1432860,Indie,858393
210970,Indie,854974
1084600,Indie,751218
582660,Indie,3358400
474960,AAA,998326
1121560,AA,319831
626690,AA,645909
1089090,AA,749136
235600,AAA,1152693
3590,Indie,7093301
17470,AAA,1586030
977950,Indie,2352903
1206560,Indie,968545
916840,Indie,454263
972660,Indie,1125597
606280,AA,457014
274190,AA,2709360
392110,AA,1169843
784080,Indie,417163
40800,Indie,3056094
411300,AA,486552
20920,AAA,5812606
365450,Indie,858792
212680,Indie,3054433
244450,Indie,1499245
239160,AA,1586726
569480,Indie,1382029
206480,Indie,889993
2519060,AAA,236520
1210320,AA,1503346
342180,Indie,624782
495910,Indie,781653
954850,AA,310308
2338770,AAA,409586
363150,AA,192121
2344520,Indie,343464
311290,AA,314734
1599600,Indie,1133782
1846380,AAA,553120
690830,Indie,628710
517630,AA,973096
1817230,AAA,548010
302510,AA,1766396
240720,Indie,3231526
617830,Indie,884369
307690,AA,3034106
1102190,AA,852819
919640,Indie,405912
1273400,AA,499206
245620,Indie,1112219
393080,AAA,560232
1237320,AA,351321
265930,AA,3266048
107100,AA,2266369
1253920,Indie,829212
1940340,AA,417627
327070,Indie,587046
257510,AA,1323849
859580,AAA,466232
239820,Indie,2170888
394510,AA,1336532
329110,AA,518905
209160,AAA,544672
571740,Indie,2774930
311560,AAA,837456
567640,AA,528045
244160,AA,834682
278080,AA,669542
1296830,Indie,1314660
550470,Indie,379786
787480,AAA,889024
234330,Indie,245288
860510,AA,857014
1007040,Indie,414416
393420,Indie,954571
997010,AA,596395
1149620,Indie,956941
71340,AA,1246346
301640,AA,1234439
232890,Indie,931251
1544020,AAA,313721
